Bus Stop ID,Location,Direction,Route Number,Route Name,Benches,Bench Responsibility,Trash Cans,Trash Can Responsibility,Shelters,Shelter Responsibility,Longitude,Latitude,ObjectId,x,y
492,Livernois & Horatio,Northbound,30,Livernois,false, ,false, ,false, ,-83.1237335,42.3360247,1781,-9253291.68605578,5211447.97466018
493,Livernois & Warren,Northbound,30,Livernois,false, ,false, ,true,DDOT,-83.1304839,42.345082,1782,-9254043.13714643,5212812.0385289
494,Livernois & Grand River,Northbound,30,Livernois,false, ,true,City of Detroit,true,DDOT,-83.1386122,42.3689949,1783,-9254947.97536344,5216414.35697868
495,Livernois & Ewald Cir,Northbound,30,Livernois,false, ,false, ,false, ,-83.139589,42.3918449,1784,-9255056.71224205,5219857.83815116
496,Livernois & 8 Mile,Northbound,30,Livernois,false, ,false, ,false, ,-83.141786,42.4449235,1785,-9255301.28116332,5227861.5926896
497,Mack & Cadieux,Westbound,31,Mack,false, ,true,City of Detroit,true,DDOT,-82.922863,42.394769,1786,-9230930.88428039,5220298.58871507
498,Mack & Alter,Westbound,31,Mack,false, ,false, ,false, ,-82.9482348,42.3873599,1787,-9233755.26013689,5219181.85251086
499,Mack & Conner,Westbound,31,Mack,false, ,true,City of Detroit,true,DDOT,-82.9684649,42.3837951,1788,-9236007.26456759,5218644.59518456
500,Mack & St Jean,Westbound,31,Mack,false, ,true,City of Detroit,false, ,-82.9789619,42.3791079,1789,-9237175.78526245,5217938.22538761
501,Mack & E Grand Bl,Westbound,31,Mack,false, ,true,City of Detroit,false, ,-83.0137719,42.3642509,1790,-9241050.81673696,5215699.59609709
502,Mack & Gratiot,Westbound,31,Mack,false, ,true,City of Detroit,false, ,-83.0286242,42.3587929,1791,-9242704.16721007,5214877.32624885
503,Lafayette & St Aubin,Westbound,"5, 52","Van Dyke/Lafayette, Chene",false, ,false, ,false, ,-83.029707,42.3394512,1792,-9242824.7039547,5211963.9955019
504,Lafayette & St Aubin,Eastbound,"5, 52","Van Dyke/Lafayette, Chene",false, ,false, ,false, ,-83.029432,42.3392309,1793,-9242794.09109473,5211930.81812279
505,Mack & Gratiot,Eastbound,31,Mack,false, ,false, ,false, ,-83.028747,42.3586019,1794,-9242717.83724354,5214848.55261725
506,Mack & E Grand Bl,Eastbound,31,Mack,false, ,true,City of Detroit,false, ,-83.0126951,42.3644519,1795,-9240930.94790928,5215729.87892647
507,Mack & St Jean,Eastbound,31,Mack,false, ,true,City of Detroit,true,DDOT,-82.9782059,42.3791489,1796,-9237091.62772741,5217944.4039356
508,Mack & Conner,Eastbound,31,Mack,false, ,true,City of Detroit,true,DDOT,-82.9671999,42.38358,1797,-9235866.44541174,5218612.17805823
509,Mack & Alter,Eastbound,31,Mack,false, ,false, ,false, ,-82.9479881,42.38714,1798,-9233727.79761852,5219148.71010918
510,Mack & Cadieux,Eastbound,"31, 32","Mack, McNichols",false, ,true,Third-Party,false, ,-82.921883,42.395006,1799,-9230821.79117941,5220334.31270341
511,Kelly & Moross,Northbound,17,Eight Mile,false, ,false, ,false, ,-82.9525049,42.434953,1800,-9234230.60549453,5226357.61797198
513,McNichols & Southfield,Eastbound,32,McNichols,false, ,true,City of Detroit,true,DDOT,-83.2180691,42.41547,1801,-9263793.07701145,5223419.44481489
514,McNichols & Schaefer,Eastbound,32,McNichols,false, ,true,City of Detroit,true,DDOT,-83.179307,42.4164731,1802,-9259478.09977738,5223570.69704327
515,McNichols & Livernois,Eastbound,"16, 29, 32","Dexter, Linwood, McNichols",false, ,true,City of Detroit,true,DDOT,-83.140127,42.4170841,1803,-9255116.6021281,5223662.82773897
516,McNichols & Hamilton,Eastbound,32,McNichols,false, ,false, ,false, ,-83.1154349,42.417538,1804,-9252367.89012948,5223731.27041958
517,McNichols & Woodward,Eastbound,"23, 32","Hamilton, McNichols",false, ,true,City of Detroit,false, ,-83.1042949,42.417698,1805,-9251127.79100204,5223755.39662029
518,McNichols & Conant,Eastbound,32,McNichols,false, ,false, ,false, ,-83.0629579,42.4185971,1806,-9246526.17721112,5223890.97193427
521,7 Mile & E Outer Dr,Eastbound,7,Seven Mile,false, ,true,City of Detroit,true,DDOT,-83.0136469,42.4341069,1807,-9241036.90180061,5226230.00118396
522,McNichols & Conner,Eastbound,32,McNichols,false, ,true,City of Detroit,false, ,-83.0130379,42.419612,1808,-9240969.10823072,5224044.0110691
523,McNichols & Gunston,Eastbound,32,McNichols,false, ,false, ,false, ,-83.0027619,42.4202839,1809,-9239825.18914333,5224145.32979782
524,Seymour & Gratiot,Eastbound,32,McNichols,false, ,false, ,false, ,-82.9825158,42.4269181,1810,-9237571.40360078,5225145.78801322
527,Cadieux & Mack,Northbound,32,McNichols,false, ,false, ,false, ,-82.9226472,42.3953931,1811,-9230906.86153427,5220392.66217451
528,Whittier & Harper,Westbound,32,McNichols,false, ,false, ,false, ,-82.9425351,42.412665,1812,-9233120.77243522,5222996.50630439
529,McNichols & Gratiot,Westbound,32,McNichols,false, ,false, ,false, ,-82.9835702,42.426983,1813,-9237688.77887187,5225155.57566016
530,McNichols & Gunston,Westbound,32,McNichols,false, ,true,City of Detroit,true,DDOT,-83.002981,42.4204251,1814,-9239849.57924376,5224166.62209913
531,E Outer Dr & McNichols,Westbound,32,McNichols,false, ,false, ,false, ,-83.013618,42.420137,1815,-9241033.68466733,5224123.17801398
532,7 Mile & E Outer Dr,Westbound,"7, 32","Seven Mile, McNichols",false, ,false, ,false, ,-83.0150849,42.4342201,1816,-9241196.97922838,5226247.07497657
533,7 Mile & Van Dyke,Westbound,7,Seven Mile,false, ,true,City of Detroit,false, ,-83.024696,42.434053,1817,-9242266.88198634,5226221.87153559
534,McNichols & Van Dyke,Westbound,32,McNichols,false, ,false, ,false, ,-83.0244369,42.4195861,1818,-9242238.03910627,5224040.10551698
535,McNichols & Conant,Westbound,32,McNichols,false, ,false, ,false, ,-83.0644012,42.4187091,1819,-9246686.84463218,5223907.86055354
536,McNichols & Woodward,Westbound,"23, 32","Hamilton, McNichols",false, ,false, ,true,DDOT,-83.1062231,42.41783,1820,-9251342.43724419,5223775.30078221
537,McNichols & Pontchartrain,Westbound,32,McNichols,false, ,false, ,false, ,-83.117008,42.417628,1821,-9252543.00682045,5223744.8413999
538,McNichols & Livernois,Westbound,32,McNichols,false, ,true,City of Detroit,false, ,-83.1400994,42.4172646,1822,-9255113.52971015,5223690.04491659
539,McNichols & Schaefer,Westbound,32,McNichols,false, ,true,City of Detroit,false, ,-83.1804871,42.416703,1823,-9259609.46790846,5223605.36280854
540,McNichols & Southfield,Westbound,32,McNichols,false, ,true,City of Detroit,true,DDOT,-83.2196041,42.4156441,1824,-9263963.95242982,5223445.69627428
545,Gratiot & Chene,Northbound,6,Gratiot,false, ,false, ,false, ,-83.0317358,42.3527009,1825,-9243050.54893762,5213959.62607101
548,Gratiot & Van Dyke,Northbound,6,Gratiot,false, ,true,City of Detroit,false, ,-83.0141661,42.3793499,1826,-9241094.69888023,5217974.69394879
549,Gratiot & Harper,Eastbound,6,Gratiot,false, ,false, ,false, ,-83.0045551,42.393854,1827,-9240024.80725422,5220160.66825374
552,Gratiot & 7 Mile,Northbound,6,Gratiot,false, ,true,City of Detroit,false, ,-82.9773051,42.4353459,1828,-9236991.3511301,5226416.87944422
554,Gratiot & 8 Mile,Southbound,6,Gratiot,true,DDOT,true,City of Detroit,false, ,-82.968511,42.4493381,1829,-9236012.39639612,5228527.57825129
555,Gratiot & 7 Mile,Southbound,6,Gratiot,false, ,true,City of Detroit,true,Third-Party,-82.9781019,42.43479,1830,-9237080.05050036,5226333.0326395
